cluster_num,ufo_datetime,ufo_year,city,county_name,county_lat,county_lon,state,shape,duration_seconds,comments
,2011-06-15 19:00:00.000000 UTC,2011,Great Falls,Cascade,47.3165751,-111.3502622,MT,chevron,10.0,Boomerang shaped object seen in daylight at Great Falls&#44 Montana.
,2011-05-06 23:20:00.000000 UTC,2011,Colchester,Chittenden,44.4633289,-73.0694099,VT,chevron,180.0,Orange light arch in Vermont.
,2011-10-11 03:15:00.000000 UTC,2011,Omaha,Gallatin,37.7686768,-88.2279642,IL,chevron,120.0,I noticed the craft as it had just passed over Rt 1. i brought my semi to a stop and shut down the engine. the craft was very large&#44as
,2011-03-02 21:00:00.000000 UTC,2011,Echo,Coleman,31.9142052,-99.3466223,TX,chevron,60.0,Man Escapes Alien Abduction With Photo&#44s to Prove It.
,2011-05-05 23:05:00.000000 UTC,2011,Sioux Falls,Minnehaha,43.6674723,-96.7957261,SD,chevron,120.0,Three brillant white lights going one direction and stopping and  two red chevron shaped objects going near opposite course
,2010-12-09 22:00:00.000000 UTC,2010,Charlottesville,Charlottesville,38.0376579,-78.4853806,VA,chevron,7200.0,((HOAX??))  alien acrobat&#44 or new government plane?  you tell me.
,2010-07-11 13:00:00.000000 UTC,2010,Frankfort,Franklin,34.4419892,-87.8428144,AL,chevron,15.0,chromed object in sky
,2008-11-17 18:24:00.000000 UTC,2008,Denham Springs,Livingston,30.4404194,-90.7274738,LA,chevron,5.0,This is a real sighting. Been wanting to always see one...no camera on hand.
,2006-03-02 19:15:00.000000 UTC,2006,Butte,Silver Bow,45.8962319,-112.6600714,MT,chevron,10.0,Triangle or boomerang shaped silent craft over Butte Montana March 2&#44 2006  19:15 local
,2006-10-29 22:20:00.000000 UTC,2006,Spearfish,Lawrence,44.348767,-103.8049474,SD,chevron,5.0,The object first appeared in the north sky.  My attention was drawn to what initially appeared to be a shooting star.  The first thing
,2005-02-25 22:20:00.000000 UTC,2005,Glen Ullin,Morton,46.7108188,-101.2982647,ND,chevron,2700.0,sighting in western north dakota
,2004-02-10 21:00:00.000000 UTC,2004,Broken Arrow,Tulsa,36.1203177,-95.9418132,OK,chevron,300.0,Three huge&#44 low flying&#44 slowly moving chevron shaped objects with lights along the underneath sides.
,2003-01-23 06:20:00.000000 UTC,2003,Alma Center,Jackson,44.3245897,-90.7995104,WI,chevron,120.0,I was coming home from work.  It was very cold and the night or morning sky was clear.  For the past two mornings just before sunrise I
,2003-11-26 05:30:00.000000 UTC,2003,Wichita Falls,Wichita,33.9882125,-98.7080098,TX,chevron,180.0,Chevron shaped object observed over Wichita Falls&#44 TX.
,2003-08-09 10:45:00.000000 UTC,2003,Glendive,Dawson,47.2661301,-104.8982713,MT,chevron,180.0,3 chevron shaped objects flying in formation that disappeared
